experiment,condition_id,example_id,mode,prompt_variant,family,segment,layer,k,normalize_hidden_states,token_count,valid_token_count,valid,mean_lid,invalid_reason,segment_parse_status,correct,answer_parse_status,gold_answer,model_answer
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,full_output,6,10,False,58,58,True,11.572944641113281,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,full_output,13,10,False,58,58,True,10.938130378723145,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,full_output,20,10,False,58,58,True,11.67737102508545,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,6,10,False,58,58,True,11.572944641113281,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,13,10,False,58,58,True,10.938130378723145,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__canonical__no_think,gsm8k_test_000003,no_think,canonical,,answer_segment,20,10,False,58,58,True,11.67737102508545,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,full_output,6,10,False,48,48,True,12.670921325683594,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,full_output,13,10,False,48,48,True,11.96705150604248,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,full_output,20,10,False,48,48,True,12.30458927154541,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,answer_segment,6,10,False,48,48,True,12.670921325683594,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,answer_segment,13,10,False,48,48,True,11.96705150604248,,ok,True,ok,540,540
exp_b,exp_b__gsm8k_test_000003__irrelevant_context__no_think,gsm8k_test_000003,no_think,irrelevant_context,,answer_segment,20,10,False,48,48,True,12.30458927154541,,ok,True,ok,540,540
