model,model_label,model_sort_key,layer,segment_label,token_category,mean_lid,median_lid,n
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,content_word,0.0087975,0.0072476245,607
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,digits_math_symbols,0.004548033,0.0038011456,1041
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,newline_formatting,0.0034751154,0.0032503202,426
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,punctuation,0.004409042,0.003725904,367
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,reasoning_discourse_marker,0.0113512445,0.010702963,168
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,short_function_word,0.0077559445,0.0071063642,427
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,special_delimiter,0.03439415,0.03315727,54
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,content_word,0.009754138,0.008213621,565
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,digits_math_symbols,0.0043011187,0.003495819,1054
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,newline_formatting,0.00378584,0.0029147852,472
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,punctuation,0.004110205,0.0033847005,253
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,reasoning_discourse_marker,0.010318605,0.010497322,199
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,short_function_word,0.008110634,0.007010915,432
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,special_delimiter,0.03534932,0.031976864,54
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,content_word,0.008418066,0.0031808154,3561
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,digits_math_symbols,0.003383798,0.002437247,4313
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,newline_formatting,0.0034761894,0.002539654,1267
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,punctuation,0.0065311794,0.004492443,209
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,reasoning_discourse_marker,0.00990431,0.005095869,344
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,short_function_word,0.0071354564,0.003402925,3568
