example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000003,139,3,3,3,,True
gsm8k_test_000007,422,3,3,3,,True
gsm8k_test_000009,211,3,3,3,,True
gsm8k_test_000028,275,3,3,3,,True
gsm8k_test_000031,302,3,3,3,,True
gsm8k_test_000035,196,3,3,3,,True
gsm8k_test_000042,82,3,3,3,,True
gsm8k_test_000044,215,3,3,3,,True
gsm8k_test_000048,167,3,3,3,,True
gsm8k_test_000054,277,3,3,3,,True
gsm8k_test_000067,320,3,3,3,,True
gsm8k_test_000069,228,3,3,3,,True
gsm8k_test_000070,434,3,3,3,,True
gsm8k_test_000088,124,3,3,3,,True
gsm8k_test_000091,157,3,3,3,,True
gsm8k_test_000096,203,3,3,3,,True
gsm8k_test_000099,163,3,3,3,,True
gsm8k_test_000103,265,3,3,3,,True
gsm8k_test_000109,200,3,3,3,,True
gsm8k_test_000112,194,3,3,3,,True
gsm8k_test_000118,167,3,3,3,,True
gsm8k_test_000133,118,3,3,3,,True
gsm8k_test_000135,291,3,3,3,,True
gsm8k_test_000150,277,3,3,3,,True
gsm8k_test_000156,225,3,3,3,,True
gsm8k_test_000162,514,3,3,3,,True
gsm8k_test_000172,385,3,3,3,,True
gsm8k_test_000176,156,3,3,3,,True
gsm8k_test_000182,505,3,3,3,,True
gsm8k_test_000188,178,3,3,3,,True
gsm8k_test_000192,107,3,3,3,,True
gsm8k_test_000199,151,3,3,3,,True
gsm8k_test_000208,197,3,3,3,,True
gsm8k_test_000217,153,3,3,3,,True
gsm8k_test_000227,285,3,3,3,,True
gsm8k_test_000243,191,3,3,3,,True
gsm8k_test_000247,221,3,3,3,,True
gsm8k_test_000252,352,3,3,3,,True
gsm8k_test_000254,318,3,3,3,,True
gsm8k_test_000257,300,3,3,3,,True
gsm8k_test_000273,202,3,3,3,,True
gsm8k_test_000274,155,3,3,3,,True
gsm8k_test_000276,249,3,3,3,,True
gsm8k_test_000282,260,3,3,3,,True
gsm8k_test_000290,221,3,3,3,,True
gsm8k_test_000294,96,3,3,3,,True
gsm8k_test_000296,278,3,3,3,,True
gsm8k_test_000300,134,3,3,3,,True
gsm8k_test_000304,514,3,3,3,,True
gsm8k_test_000307,514,3,3,3,,True
gsm8k_test_000310,238,3,3,3,,True
gsm8k_test_000315,260,3,3,3,,True
gsm8k_test_000325,381,3,3,3,,True
gsm8k_test_000338,261,3,3,3,,True
gsm8k_test_000343,364,3,3,3,,True
gsm8k_test_000351,138,3,3,3,,True
gsm8k_test_000360,209,3,3,3,,True
gsm8k_test_000361,305,3,3,3,,True
gsm8k_test_000364,272,3,3,3,,True
gsm8k_test_000374,153,3,3,3,,True
gsm8k_test_000389,397,3,3,3,,True
gsm8k_test_000395,237,3,3,3,,True
gsm8k_test_000398,156,3,3,3,,True
gsm8k_test_000415,490,3,3,3,,True
gsm8k_test_000426,161,3,3,3,,True
gsm8k_test_000432,189,3,3,3,,True
gsm8k_test_000433,196,3,3,3,,True
gsm8k_test_000448,263,3,3,3,,True
gsm8k_test_000449,115,3,3,3,,True
gsm8k_test_000460,217,3,3,3,,True
gsm8k_test_000472,260,3,3,3,,True
gsm8k_test_000491,260,3,3,3,,True
gsm8k_test_000503,112,3,3,3,,True
gsm8k_test_000509,377,3,3,3,,True
gsm8k_test_000514,222,3,3,3,,True
gsm8k_test_000518,320,3,3,3,,True
gsm8k_test_000523,261,3,3,3,,True
gsm8k_test_000531,303,3,3,3,,True
gsm8k_test_000532,494,3,3,3,,True
gsm8k_test_000534,514,3,3,3,,True
gsm8k_test_000543,231,3,3,3,,True
gsm8k_test_000549,285,3,3,3,,True
gsm8k_test_000560,202,3,3,3,,True
gsm8k_test_000561,284,3,3,3,,True
gsm8k_test_000564,362,3,3,3,,True
gsm8k_test_000568,227,3,3,3,,True
gsm8k_test_000582,230,3,3,3,,True
gsm8k_test_000585,244,3,3,3,,True
gsm8k_test_000586,243,3,3,3,,True
gsm8k_test_000595,212,3,3,3,,True
gsm8k_test_000604,207,3,3,3,,True
gsm8k_test_000605,219,3,3,3,,True
gsm8k_test_000625,292,3,3,3,,True
gsm8k_test_000629,376,3,3,3,,True
gsm8k_test_000633,212,3,3,3,,True
gsm8k_test_000640,514,3,3,3,,True
gsm8k_test_000641,514,3,3,3,,True
gsm8k_test_000644,180,3,3,3,,True
gsm8k_test_000645,160,3,3,3,,True
gsm8k_test_000655,159,3,3,3,,True
gsm8k_test_000668,230,3,3,3,,True
gsm8k_test_000684,201,3,3,3,,True
gsm8k_test_000695,238,3,3,3,,True
gsm8k_test_000697,268,3,3,3,,True
gsm8k_test_000713,337,3,3,3,,True
gsm8k_test_000740,173,3,3,3,,True
gsm8k_test_000759,200,3,3,3,,True
gsm8k_test_000760,244,3,3,3,,True
gsm8k_test_000767,269,3,3,3,,True
gsm8k_test_000775,357,3,3,3,,True
gsm8k_test_000776,326,3,3,3,,True
gsm8k_test_000781,149,3,3,3,,True
gsm8k_test_000782,287,3,3,3,,True
gsm8k_test_000795,206,3,3,3,,True
gsm8k_test_000814,340,3,3,3,,True
gsm8k_test_000828,203,3,3,3,,True
gsm8k_test_000829,162,3,3,3,,True
gsm8k_test_000830,501,3,3,3,,True
gsm8k_test_000848,229,3,3,3,,True
gsm8k_test_000852,514,3,3,3,,True
gsm8k_test_000871,252,3,3,3,,True
gsm8k_test_000875,247,3,3,3,,True
gsm8k_test_000891,257,3,3,3,,True
gsm8k_test_000896,121,3,3,3,,True
gsm8k_test_000900,201,3,3,3,,True
