experiment,condition_id,example_id,mode,prompt_variant,family,segment,layer,k,normalize_hidden_states,token_count,valid_token_count,valid,mean_lid,invalid_reason,segment_parse_status,correct,answer_parse_status,gold_answer,model_answer
exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,3.9925732612609863,,ok,,,,
exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,4.302785873413086,,ok,,,,
exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,3.974771738052368,,ok,,,,
exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,6,10,False,85,85,True,7.256117343902588,,ok,,,,
exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,13,10,False,85,85,True,11.232690811157227,,ok,,,,
exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,20,10,False,85,85,True,8.599053382873535,,ok,,,,
exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,6,10,False,84,84,True,8.48621654510498,,ok,,,,
exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,13,10,False,84,84,True,11.989044189453125,,ok,,,,
exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,20,10,False,84,84,True,12.934500694274902,,ok,,,,
exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,6,10,False,77,77,True,7.606939315795898,,ok,,,,
exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,13,10,False,77,77,True,10.649336814880371,,ok,,,,
exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,20,10,False,77,77,True,9.682564735412598,,ok,,,,
exp_a,exp_a__constant_repetition_null,constant_repetition_null,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,3.4864158630371094,,ok,,,,
exp_a,exp_a__constant_repetition_null,constant_repetition_null,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,4.02488899230957,,ok,,,,
