example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000003,3,0,3,3,too_short,False
gsm8k_test_000007,514,3,3,3,,True
gsm8k_test_000009,3,0,3,3,too_short,False
gsm8k_test_000028,3,0,3,3,too_short,False
gsm8k_test_000031,262,3,3,3,,True
gsm8k_test_000035,3,0,3,3,too_short,False
gsm8k_test_000042,3,0,3,3,too_short,False
gsm8k_test_000044,3,0,3,3,too_short,False
gsm8k_test_000048,3,0,3,3,too_short,False
gsm8k_test_000054,514,3,3,3,,True
gsm8k_test_000067,3,0,3,3,too_short,False
gsm8k_test_000069,265,3,3,3,,True
gsm8k_test_000070,3,0,3,3,too_short,False
gsm8k_test_000088,3,0,3,3,too_short,False
gsm8k_test_000091,3,0,3,3,too_short,False
gsm8k_test_000096,3,0,3,3,too_short,False
gsm8k_test_000099,245,3,3,3,,True
gsm8k_test_000103,3,0,3,3,too_short,False
gsm8k_test_000109,3,0,3,3,too_short,False
gsm8k_test_000112,3,0,3,3,too_short,False
gsm8k_test_000118,133,3,3,3,,True
gsm8k_test_000133,3,0,3,3,too_short,False
gsm8k_test_000135,220,3,3,3,,True
gsm8k_test_000150,3,0,3,3,too_short,False
gsm8k_test_000156,3,0,3,3,too_short,False
gsm8k_test_000162,3,0,3,3,too_short,False
gsm8k_test_000172,3,0,3,3,too_short,False
gsm8k_test_000176,3,0,3,3,too_short,False
gsm8k_test_000182,514,3,3,3,,True
gsm8k_test_000188,3,0,3,3,too_short,False
gsm8k_test_000192,3,0,3,3,too_short,False
gsm8k_test_000199,3,0,3,3,too_short,False
gsm8k_test_000208,3,0,3,3,too_short,False
gsm8k_test_000217,3,0,3,3,too_short,False
gsm8k_test_000227,3,0,3,3,too_short,False
gsm8k_test_000243,263,3,3,3,,True
gsm8k_test_000247,290,3,3,3,,True
gsm8k_test_000252,410,3,3,3,,True
gsm8k_test_000254,304,3,3,3,,True
gsm8k_test_000257,3,0,3,3,too_short,False
gsm8k_test_000273,3,0,3,3,too_short,False
gsm8k_test_000274,3,0,3,3,too_short,False
gsm8k_test_000276,3,0,3,3,too_short,False
gsm8k_test_000282,3,0,3,3,too_short,False
gsm8k_test_000290,3,0,3,3,too_short,False
gsm8k_test_000294,3,0,3,3,too_short,False
gsm8k_test_000296,3,0,3,3,too_short,False
gsm8k_test_000300,3,0,3,3,too_short,False
gsm8k_test_000304,3,0,3,3,too_short,False
gsm8k_test_000307,3,0,3,3,too_short,False
gsm8k_test_000310,429,3,3,3,,True
gsm8k_test_000315,3,0,3,3,too_short,False
gsm8k_test_000325,3,0,3,3,too_short,False
gsm8k_test_000338,3,0,3,3,too_short,False
gsm8k_test_000343,163,3,3,3,,True
gsm8k_test_000351,3,0,3,3,too_short,False
gsm8k_test_000360,3,0,3,3,too_short,False
gsm8k_test_000361,327,3,3,3,,True
gsm8k_test_000364,3,0,3,3,too_short,False
gsm8k_test_000374,3,0,3,3,too_short,False
gsm8k_test_000389,3,0,3,3,too_short,False
gsm8k_test_000395,3,0,3,3,too_short,False
gsm8k_test_000398,3,0,3,3,too_short,False
gsm8k_test_000415,3,0,3,3,too_short,False
gsm8k_test_000426,3,0,3,3,too_short,False
gsm8k_test_000432,3,0,3,3,too_short,False
gsm8k_test_000433,195,3,3,3,,True
gsm8k_test_000448,3,0,3,3,too_short,False
gsm8k_test_000449,311,3,3,3,,True
gsm8k_test_000460,175,3,3,3,,True
gsm8k_test_000472,153,3,3,3,,True
gsm8k_test_000491,3,0,3,3,too_short,False
gsm8k_test_000503,3,0,3,3,too_short,False
gsm8k_test_000509,3,0,3,3,too_short,False
gsm8k_test_000514,243,3,3,3,,True
gsm8k_test_000518,3,0,3,3,too_short,False
gsm8k_test_000523,247,3,3,3,,True
gsm8k_test_000531,3,0,3,3,too_short,False
gsm8k_test_000532,3,0,3,3,too_short,False
gsm8k_test_000534,514,3,3,3,,True
gsm8k_test_000543,199,3,3,3,,True
gsm8k_test_000549,364,3,3,3,,True
gsm8k_test_000560,3,0,3,3,too_short,False
gsm8k_test_000561,3,0,3,3,too_short,False
gsm8k_test_000564,3,0,3,3,too_short,False
gsm8k_test_000568,3,0,3,3,too_short,False
gsm8k_test_000582,3,0,3,3,too_short,False
gsm8k_test_000585,299,3,3,3,,True
gsm8k_test_000586,3,0,3,3,too_short,False
gsm8k_test_000595,3,0,3,3,too_short,False
gsm8k_test_000604,221,3,3,3,,True
gsm8k_test_000605,3,0,3,3,too_short,False
gsm8k_test_000625,185,3,3,3,,True
gsm8k_test_000629,294,3,3,3,,True
gsm8k_test_000633,3,0,3,3,too_short,False
gsm8k_test_000640,369,3,3,3,,True
gsm8k_test_000641,476,3,3,3,,True
gsm8k_test_000644,169,3,3,3,,True
gsm8k_test_000645,198,3,3,3,,True
gsm8k_test_000655,244,3,3,3,,True
gsm8k_test_000668,3,0,3,3,too_short,False
gsm8k_test_000684,3,0,3,3,too_short,False
gsm8k_test_000695,193,3,3,3,,True
gsm8k_test_000697,176,3,3,3,,True
gsm8k_test_000713,281,3,3,3,,True
gsm8k_test_000740,3,0,3,3,too_short,False
gsm8k_test_000759,236,3,3,3,,True
gsm8k_test_000760,357,3,3,3,,True
gsm8k_test_000767,3,0,3,3,too_short,False
gsm8k_test_000775,345,3,3,3,,True
gsm8k_test_000776,3,0,3,3,too_short,False
gsm8k_test_000781,3,0,3,3,too_short,False
gsm8k_test_000782,3,0,3,3,too_short,False
gsm8k_test_000795,3,0,3,3,too_short,False
gsm8k_test_000814,357,3,3,3,,True
gsm8k_test_000828,3,0,3,3,too_short,False
gsm8k_test_000829,3,0,3,3,too_short,False
gsm8k_test_000830,3,0,3,3,too_short,False
gsm8k_test_000848,3,0,3,3,too_short,False
gsm8k_test_000852,3,0,3,3,too_short,False
gsm8k_test_000871,3,0,3,3,too_short,False
gsm8k_test_000875,258,3,3,3,,True
gsm8k_test_000891,3,0,3,3,too_short,False
gsm8k_test_000896,3,0,3,3,too_short,False
gsm8k_test_000900,228,3,3,3,,True
gsm8k_test_000901,514,3,3,3,,True
gsm8k_test_000911,3,0,3,3,too_short,False
gsm8k_test_000913,3,0,3,3,too_short,False
gsm8k_test_000914,3,0,3,3,too_short,False
gsm8k_test_000915,3,0,3,3,too_short,False
gsm8k_test_000917,3,0,3,3,too_short,False
gsm8k_test_000921,3,0,3,3,too_short,False
gsm8k_test_000923,514,3,3,3,,True
gsm8k_test_000924,514,3,3,3,,True
gsm8k_test_000930,3,0,3,3,too_short,False
gsm8k_test_000948,3,0,3,3,too_short,False
gsm8k_test_000956,3,0,3,3,too_short,False
gsm8k_test_000960,3,0,3,3,too_short,False
gsm8k_test_000965,417,3,3,3,,True
gsm8k_test_000977,3,0,3,3,too_short,False
gsm8k_test_000988,3,0,3,3,too_short,False
gsm8k_test_000990,355,3,3,3,,True
gsm8k_test_000995,3,0,3,3,too_short,False
gsm8k_test_001002,3,0,3,3,too_short,False
gsm8k_test_001006,3,0,3,3,too_short,False
gsm8k_test_001008,3,0,3,3,too_short,False
gsm8k_test_001009,3,0,3,3,too_short,False
gsm8k_test_001013,3,0,3,3,too_short,False
gsm8k_test_001017,220,3,3,3,,True
gsm8k_test_001026,3,0,3,3,too_short,False
gsm8k_test_001031,339,3,3,3,,True
gsm8k_test_001038,335,3,3,3,,True
gsm8k_test_001043,239,3,3,3,,True
gsm8k_test_001047,3,0,3,3,too_short,False
gsm8k_test_001052,3,0,3,3,too_short,False
gsm8k_test_001058,3,0,3,3,too_short,False
gsm8k_test_001059,273,3,3,3,,True
gsm8k_test_001079,3,0,3,3,too_short,False
gsm8k_test_001082,514,3,3,3,,True
gsm8k_test_001088,3,0,3,3,too_short,False
gsm8k_test_001090,3,0,3,3,too_short,False
gsm8k_test_001094,478,3,3,3,,True
gsm8k_test_001096,3,0,3,3,too_short,False
gsm8k_test_001098,3,0,3,3,too_short,False
gsm8k_test_001106,3,0,3,3,too_short,False
gsm8k_test_001108,3,0,3,3,too_short,False
gsm8k_test_001123,3,0,3,3,too_short,False
gsm8k_test_001136,3,0,3,3,too_short,False
gsm8k_test_001144,3,0,3,3,too_short,False
gsm8k_test_001145,224,3,3,3,,True
gsm8k_test_001161,3,0,3,3,too_short,False
gsm8k_test_001164,3,0,3,3,too_short,False
gsm8k_test_001165,3,0,3,3,too_short,False
gsm8k_test_001178,3,0,3,3,too_short,False
gsm8k_test_001181,3,0,3,3,too_short,False
gsm8k_test_001182,357,3,3,3,,True
gsm8k_test_001183,3,0,3,3,too_short,False
gsm8k_test_001186,3,0,3,3,too_short,False
gsm8k_test_001188,3,0,3,3,too_short,False
gsm8k_test_001191,3,0,3,3,too_short,False
gsm8k_test_001201,3,0,3,3,too_short,False
gsm8k_test_001208,3,0,3,3,too_short,False
gsm8k_test_001209,227,3,3,3,,True
gsm8k_test_001221,115,3,3,3,,True
gsm8k_test_001225,3,0,3,3,too_short,False
gsm8k_test_001232,3,0,3,3,too_short,False
gsm8k_test_001246,3,0,3,3,too_short,False
