example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000003,3,0,3,3,too_short,False
gsm8k_test_000009,3,0,3,3,too_short,False
gsm8k_test_000035,3,0,3,3,too_short,False
gsm8k_test_000048,3,0,3,3,too_short,False
gsm8k_test_000067,3,0,3,3,too_short,False
gsm8k_test_000069,3,0,3,3,too_short,False
gsm8k_test_000070,3,0,3,3,too_short,False
gsm8k_test_000091,3,0,3,3,too_short,False
gsm8k_test_000096,3,0,3,3,too_short,False
gsm8k_test_000103,3,0,3,3,too_short,False
gsm8k_test_000112,3,0,3,3,too_short,False
gsm8k_test_000135,3,0,3,3,too_short,False
gsm8k_test_000156,3,0,3,3,too_short,False
gsm8k_test_000162,3,0,3,3,too_short,False
gsm8k_test_000172,3,0,3,3,too_short,False
gsm8k_test_000176,3,0,3,3,too_short,False
gsm8k_test_000188,3,0,3,3,too_short,False
gsm8k_test_000192,3,0,3,3,too_short,False
gsm8k_test_000208,3,0,3,3,too_short,False
gsm8k_test_000217,3,0,3,3,too_short,False
gsm8k_test_000227,3,0,3,3,too_short,False
gsm8k_test_000243,3,0,3,3,too_short,False
gsm8k_test_000252,3,0,3,3,too_short,False
gsm8k_test_000274,3,0,3,3,too_short,False
gsm8k_test_000276,3,0,3,3,too_short,False
gsm8k_test_000282,3,0,3,3,too_short,False
gsm8k_test_000290,3,0,3,3,too_short,False
gsm8k_test_000294,3,0,3,3,too_short,False
gsm8k_test_000296,3,0,3,3,too_short,False
gsm8k_test_000310,3,0,3,3,too_short,False
gsm8k_test_000315,3,0,3,3,too_short,False
gsm8k_test_000338,3,0,3,3,too_short,False
gsm8k_test_000343,3,0,3,3,too_short,False
gsm8k_test_000360,3,0,3,3,too_short,False
gsm8k_test_000364,3,0,3,3,too_short,False
gsm8k_test_000374,3,0,3,3,too_short,False
gsm8k_test_000395,3,0,3,3,too_short,False
gsm8k_test_000398,3,0,3,3,too_short,False
gsm8k_test_000472,3,0,3,3,too_short,False
gsm8k_test_000491,3,0,3,3,too_short,False
gsm8k_test_000514,3,0,3,3,too_short,False
gsm8k_test_000518,3,0,3,3,too_short,False
gsm8k_test_000523,3,0,3,3,too_short,False
gsm8k_test_000531,3,0,3,3,too_short,False
gsm8k_test_000532,3,0,3,3,too_short,False
gsm8k_test_000549,3,0,3,3,too_short,False
gsm8k_test_000560,3,0,3,3,too_short,False
gsm8k_test_000564,3,0,3,3,too_short,False
gsm8k_test_000595,3,0,3,3,too_short,False
gsm8k_test_000604,3,0,3,3,too_short,False
gsm8k_test_000625,3,0,3,3,too_short,False
gsm8k_test_000629,3,0,3,3,too_short,False
gsm8k_test_000633,3,0,3,3,too_short,False
gsm8k_test_000641,3,0,3,3,too_short,False
gsm8k_test_000644,3,0,3,3,too_short,False
gsm8k_test_000645,3,0,3,3,too_short,False
gsm8k_test_000655,3,0,3,3,too_short,False
gsm8k_test_000695,3,0,3,3,too_short,False
gsm8k_test_000740,3,0,3,3,too_short,False
gsm8k_test_000759,3,0,3,3,too_short,False
gsm8k_test_000760,3,0,3,3,too_short,False
gsm8k_test_000767,3,0,3,3,too_short,False
gsm8k_test_000775,3,0,3,3,too_short,False
gsm8k_test_000776,3,0,3,3,too_short,False
gsm8k_test_000782,3,0,3,3,too_short,False
gsm8k_test_000795,3,0,3,3,too_short,False
gsm8k_test_000829,3,0,3,3,too_short,False
gsm8k_test_000848,3,0,3,3,too_short,False
gsm8k_test_000871,3,0,3,3,too_short,False
gsm8k_test_000875,3,0,3,3,too_short,False
gsm8k_test_000891,3,0,3,3,too_short,False
gsm8k_test_000900,3,0,3,3,too_short,False
gsm8k_test_000913,3,0,3,3,too_short,False
gsm8k_test_000914,3,0,3,3,too_short,False
gsm8k_test_000915,3,0,3,3,too_short,False
gsm8k_test_000917,3,0,3,3,too_short,False
gsm8k_test_000921,3,0,3,3,too_short,False
gsm8k_test_000930,3,0,3,3,too_short,False
gsm8k_test_000956,3,0,3,3,too_short,False
gsm8k_test_000960,3,0,3,3,too_short,False
gsm8k_test_000990,3,0,3,3,too_short,False
gsm8k_test_000995,3,0,3,3,too_short,False
gsm8k_test_001008,3,0,3,3,too_short,False
gsm8k_test_001017,3,0,3,3,too_short,False
gsm8k_test_001058,3,0,3,3,too_short,False
gsm8k_test_001082,3,0,3,3,too_short,False
gsm8k_test_001090,3,0,3,3,too_short,False
gsm8k_test_001094,3,0,3,3,too_short,False
gsm8k_test_001098,3,0,3,3,too_short,False
gsm8k_test_001108,3,0,3,3,too_short,False
gsm8k_test_001123,3,0,3,3,too_short,False
gsm8k_test_001144,3,0,3,3,too_short,False
gsm8k_test_001145,3,0,3,3,too_short,False
gsm8k_test_001161,3,0,3,3,too_short,False
gsm8k_test_001178,3,0,3,3,too_short,False
gsm8k_test_001186,3,0,3,3,too_short,False
gsm8k_test_001191,3,0,3,3,too_short,False
gsm8k_test_001201,3,0,3,3,too_short,False
gsm8k_test_001208,3,0,3,3,too_short,False
gsm8k_test_001221,3,0,3,3,too_short,False
gsm8k_test_001232,3,0,3,3,too_short,False
gsm8k_test_001246,3,0,3,3,too_short,False
gsm8k_test_001247,3,0,3,3,too_short,False
gsm8k_test_001253,3,0,3,3,too_short,False
gsm8k_test_001255,3,0,3,3,too_short,False
gsm8k_test_001275,3,0,3,3,too_short,False
gsm8k_test_001289,3,0,3,3,too_short,False
gsm8k_test_001291,3,0,3,3,too_short,False
gsm8k_test_001311,3,0,3,3,too_short,False
gsm8k_test_001313,3,0,3,3,too_short,False
