model,model_label,experiment,condition_id,example_id,mode,prompt_variant,family,segment,layer,k,normalize_hidden_states,token_count,valid_token_count,valid,mean_lid,invalid_reason,segment_parse_status,correct,answer_parse_status,gold_answer,model_answer,model_sort_key,condition,segment_label
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,4.583963394165039,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,5.528911590576172,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_data,constant_repetition_data,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,5.517641544342041,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,4.121318817138672,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,4.863127708435059,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_zero,constant_repetition_zero,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,5.0480451583862305,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,4.013769149780273,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,4.834778785705566,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_token,constant_repetition_token,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,5.134825706481934,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,3.7143959999084473,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,4.5494384765625,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_apple,constant_repetition_apple,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,4.7221269607543945,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_null,constant_repetition_null,no_think,degenerate,constant_repetition,full_output,6,10,False,1024,1024,True,3.779392957687378,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_null,constant_repetition_null,no_think,degenerate,constant_repetition,full_output,13,10,False,1024,1024,True,4.365307807922363,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__constant_repetition_null,constant_repetition_null,no_think,degenerate,constant_repetition,full_output,20,10,False,1024,1024,True,4.449494361877441,,ok,,,,,1.7,constant_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_01,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,full_output,6,10,False,29,29,True,8.961284637451172,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_01,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,full_output,13,10,False,29,29,True,4.7877116203308105,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_01,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,full_output,20,10,False,29,29,True,3.4674577713012695,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_02,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,full_output,6,10,False,37,37,True,4.179234027862549,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_02,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,full_output,13,10,False,37,37,True,5.638898849487305,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_02,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,full_output,20,10,False,37,37,True,3.360538959503174,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_03,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,full_output,6,10,False,64,64,True,4.714620590209961,,ok,,,,,1.7,short_cycle_repetition,no_think_full
