example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000007,514,3,3,3,,True
gsm8k_test_000028,334,3,3,3,,True
gsm8k_test_000031,514,3,3,3,,True
gsm8k_test_000042,240,3,3,3,,True
gsm8k_test_000044,514,3,3,3,,True
gsm8k_test_000054,514,3,3,3,,True
gsm8k_test_000088,217,3,3,3,,True
gsm8k_test_000099,192,3,3,3,,True
gsm8k_test_000109,331,3,3,3,,True
gsm8k_test_000118,183,3,3,3,,True
gsm8k_test_000133,267,3,3,3,,True
gsm8k_test_000150,514,3,3,3,,True
gsm8k_test_000182,514,3,3,3,,True
gsm8k_test_000199,514,3,3,3,,True
gsm8k_test_000247,390,3,3,3,,True
gsm8k_test_000254,396,3,3,3,,True
gsm8k_test_000257,440,3,3,3,,True
gsm8k_test_000273,475,3,3,3,,True
gsm8k_test_000300,184,3,3,3,,True
gsm8k_test_000304,514,3,3,3,,True
gsm8k_test_000307,514,3,3,3,,True
gsm8k_test_000325,514,3,3,3,,True
gsm8k_test_000351,236,3,3,3,,True
gsm8k_test_000361,514,3,3,3,,True
gsm8k_test_000389,419,3,3,3,,True
gsm8k_test_000415,514,3,3,3,,True
gsm8k_test_000426,223,3,3,3,,True
gsm8k_test_000432,430,3,3,3,,True
gsm8k_test_000433,274,3,3,3,,True
gsm8k_test_000448,514,3,3,3,,True
gsm8k_test_000449,256,3,3,3,,True
gsm8k_test_000460,149,3,3,3,,True
gsm8k_test_000503,315,3,3,3,,True
gsm8k_test_000509,514,3,3,3,,True
gsm8k_test_000534,514,3,3,3,,True
gsm8k_test_000543,379,3,3,3,,True
gsm8k_test_000561,371,3,3,3,,True
gsm8k_test_000568,327,3,3,3,,True
gsm8k_test_000582,465,3,3,3,,True
gsm8k_test_000585,227,3,3,3,,True
gsm8k_test_000586,444,3,3,3,,True
gsm8k_test_000605,354,3,3,3,,True
gsm8k_test_000640,514,3,3,3,,True
gsm8k_test_000668,242,3,3,3,,True
gsm8k_test_000684,457,3,3,3,,True
gsm8k_test_000697,503,3,3,3,,True
gsm8k_test_000713,301,3,3,3,,True
gsm8k_test_000781,514,3,3,3,,True
gsm8k_test_000814,514,3,3,3,,True
gsm8k_test_000828,298,3,3,3,,True
gsm8k_test_000830,514,3,3,3,,True
gsm8k_test_000852,418,3,3,3,,True
gsm8k_test_000896,232,3,3,3,,True
gsm8k_test_000901,514,3,3,3,,True
gsm8k_test_000911,211,3,3,3,,True
gsm8k_test_000923,514,3,3,3,,True
gsm8k_test_000924,446,3,3,3,,True
gsm8k_test_000948,398,3,3,3,,True
gsm8k_test_000965,467,3,3,3,,True
gsm8k_test_000977,215,3,3,3,,True
gsm8k_test_000988,514,3,3,3,,True
gsm8k_test_001002,249,3,3,3,,True
gsm8k_test_001006,514,3,3,3,,True
gsm8k_test_001009,514,3,3,3,,True
gsm8k_test_001013,336,3,3,3,,True
gsm8k_test_001026,514,3,3,3,,True
gsm8k_test_001031,514,3,3,3,,True
gsm8k_test_001038,514,3,3,3,,True
gsm8k_test_001043,458,3,3,3,,True
gsm8k_test_001047,409,3,3,3,,True
gsm8k_test_001052,352,3,3,3,,True
gsm8k_test_001059,262,3,3,3,,True
gsm8k_test_001079,514,3,3,3,,True
gsm8k_test_001088,514,3,3,3,,True
gsm8k_test_001096,514,3,3,3,,True
gsm8k_test_001106,211,3,3,3,,True
gsm8k_test_001136,212,3,3,3,,True
gsm8k_test_001164,421,3,3,3,,True
gsm8k_test_001165,514,3,3,3,,True
gsm8k_test_001181,514,3,3,3,,True
gsm8k_test_001182,397,3,3,3,,True
gsm8k_test_001183,514,3,3,3,,True
gsm8k_test_001188,514,3,3,3,,True
gsm8k_test_001209,330,3,3,3,,True
gsm8k_test_001225,514,3,3,3,,True
gsm8k_test_001251,514,3,3,3,,True
gsm8k_test_001263,514,3,3,3,,True
gsm8k_test_001271,423,3,3,3,,True
gsm8k_test_001307,232,3,3,3,,True
gsm8k_test_001317,260,3,3,3,,True
