model,model_label,model_sort_key,example_id,layer,delta_name,delta,think_correct,no_think_correct
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,6,think_answer_minus_no_think_answer,2.5358638763427734,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,6,thinking_minus_think_answer,-6.7493062019348145,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,6,thinking_minus_no_think_answer,-4.213442325592041,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,13,think_answer_minus_no_think_answer,-1.3664674758911133,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,13,thinking_minus_think_answer,-2.506753921508789,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,13,thinking_minus_no_think_answer,-3.8732213973999023,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,20,think_answer_minus_no_think_answer,-0.33872032165527344,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,20,thinking_minus_think_answer,-2.038102149963379,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,20,thinking_minus_no_think_answer,-2.3768224716186523,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,6,think_answer_minus_no_think_answer,1.5440683364868182,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,6,thinking_minus_think_answer,-4.961446762084963,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,6,thinking_minus_no_think_answer,-3.4173784255981445,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,13,think_answer_minus_no_think_answer,-1.2179956436157227,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,13,thinking_minus_think_answer,-1.387181282043457,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,13,thinking_minus_no_think_answer,-2.6051769256591797,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,20,think_answer_minus_no_think_answer,-0.6734437942504883,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,20,thinking_minus_think_answer,-2.2330398559570295,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,20,thinking_minus_no_think_answer,-2.9064836502075178,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,6,think_answer_minus_no_think_answer,-1.1868305206298828,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,6,thinking_minus_think_answer,-3.267864227294922,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,6,thinking_minus_no_think_answer,-4.454694747924805,True,False
