model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff,boundary_jump_answer_minus_thinking,sample_scope
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000007,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,61,61,0.0013962070108391345,0.005938187764468985,0.0019436641596257687,0.029428690671920776,2.5012978553674347e-05,0.005678125047901024,0.0,-0.001331368089165477,-0.0004827880038646981,0.0022441521286964417,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000007,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,61,61,0.002262347633950412,0.005879622895545403,0.0022634880151599646,0.027135688811540604,1.779361461208659e-05,0.005830690377236654,0.0,0.0008739902803379881,0.0010115462500834838,-0.0020980690605938435,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000007,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,61,61,0.002176890755072236,0.005128798292583374,0.0023882833775132895,0.013592155650258064,4.230459439032944e-06,0.005050777950479339,0.0,0.0002889406765377292,0.00013422036136034876,-0.003657927270978689,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000031,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,66,66,0.0013962070108391345,0.006843064678832889,0.001721300184726715,0.041524600237607956,3.84957551619579e-05,0.006508699439179438,0.0,0.0022984605264853744,0.0020554583684048236,0.004378971643745899,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000031,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,66,66,0.002262347633950412,0.005444022135413958,0.0023973635397851467,0.016902966424822807,6.827112645659822e-06,0.0053772679315163534,0.0,0.0005373266099710785,0.0009751888128983624,-0.0011123549193143845,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000031,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,66,66,0.002176890755072236,0.0055667138199858145,0.0019059509504586458,0.016040515154600143,6.73518062608347e-06,0.005472031823144509,0.030303030303030304,-0.00023360118261075063,-0.00017507385243387737,-2.3441389203071594e-06,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000054,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,42,42,0.0013962070108391345,0.007415699600685565,0.0018018470145761967,0.039869893342256546,3.808014631947445e-05,0.006949884663676707,0.0,-0.0004067673383472462,-0.0009392177770760936,0.0029337480664253235,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000054,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,42,42,0.002262347633950412,0.005412355664053133,0.0027228794060647488,0.01301545836031437,5.481737828785604e-06,0.005315290468676789,0.0,0.0010289689154670502,-0.0002256864258511496,-0.0016500381752848625,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000054,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,42,42,0.002176890755072236,0.006079191386344887,0.0025027019437402487,0.01659468561410904,6.539009193330626e-06,0.006011660318685377,0.0,-0.0008404930710074732,-0.00038310631432316496,0.000357672106474638,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000099,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,55,55,0.0013962070108391345,0.007177292003126984,0.0015466032782569528,0.06440208852291107,8.313316756405105e-05,0.006563916274225684,0.0,0.0005414895061705956,-0.0002957675356550938,-0.014679964631795883,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000099,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,55,55,0.002262347633950412,0.0055895444725386125,0.002162146382033825,0.01357143372297287,5.759471481793744e-06,0.0055070843814906695,0.01818181818181818,-0.001913731795578414,-0.0014094712013112652,-0.002143070101737976,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000099,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,55,55,0.002176890755072236,0.005654603407972239,0.0024900364223867655,0.014428517781198025,6.644974153174571e-06,0.005615379424179318,0.0,-0.0012663404439128406,-0.0011235287612570179,-0.003488158341497183,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000118,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,65,65,0.0013962070108391345,0.006410484148475986,0.001540333149023354,0.04025701805949211,5.232416842483653e-05,0.006070529143471504,0.0,0.00516700217389612,0.004732507904169752,0.005432169418781996,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000118,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,65,65,0.002262347633950412,0.005433255129565413,0.003247217508032918,0.01571608893573284,5.294139018383527e-06,0.0053410066284413915,0.0,0.0022418283551306145,0.0018126010237371221,7.746182382106781e-05,common_kept_across_included_models
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_c,no_think,gsm8k_test_000118,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,65,65,0.002176890755072236,0.005553353441735873,0.002689044689759612,0.01798119582235813,6.707919687183191e-06,0.005458746712974971,0.0,0.002549336068462448,0.0013648362227660768,-0.00439820159226656,common_kept_across_included_models
