model,model_label,experiment,layer,valid_pair,model_sort_key,example_id,prompt_variant,think_answer_lid,no_think_answer_lid,answer_lid_diff,think_correct,no_think_correct,think_answer_tokens,no_think_answer_tokens
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000007,canonical,14.697270393371582,12.161406517028809,2.5358638763427734,False,False,48.0,61.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000007,canonical,10.67499828338623,12.041465759277344,-1.3664674758911133,False,False,48.0,61.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000007,canonical,10.165058135986328,10.503778457641602,-0.3387203216552734,False,False,48.0,61.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000028,canonical,15.38127899169922,13.837210655212402,1.5440683364868164,True,True,41.0,51.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000028,canonical,10.718996047973633,11.936991691589355,-1.2179956436157229,True,True,41.0,51.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000028,canonical,10.732706069946287,11.406149864196776,-0.6734437942504883,True,True,41.0,51.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000031,canonical,12.827766418457031,14.014596939086914,-1.1868305206298828,True,False,49.0,66.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000031,canonical,10.418646812438965,11.149357795715332,-0.7307109832763672,True,False,49.0,66.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000031,canonical,11.9135160446167,11.400629997253418,0.5128860473632812,True,False,49.0,66.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000042,canonical,16.7337589263916,13.817646026611328,2.9161128997802734,True,True,46.0,44.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000042,canonical,11.864906311035156,10.582833290100098,1.2820730209350586,True,True,46.0,44.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000042,canonical,12.14463233947754,11.985681533813477,0.1589508056640625,True,True,46.0,44.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000044,canonical,13.879854202270508,12.938791275024414,0.9410629272460938,False,False,51.0,50.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000044,canonical,12.685510635375977,10.956867218017578,1.7286434173583984,False,False,51.0,50.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000044,canonical,11.840923309326172,10.784311294555664,1.0566120147705078,False,False,51.0,50.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000054,canonical,14.02254581451416,15.187355041503906,-1.164809226989746,False,False,52.0,42.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000054,canonical,11.797624588012695,11.084505081176758,0.7131195068359375,False,False,52.0,42.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000054,canonical,13.689499855041504,12.450183868408203,1.2393159866333008,False,False,52.0,42.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000088,canonical,16.4989070892334,13.54262351989746,2.9562835693359375,True,True,58.0,57.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000088,canonical,12.07712173461914,10.592366218566896,1.484755516052246,True,True,58.0,57.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000088,canonical,11.53570556640625,11.145736694335938,0.3899688720703125,True,True,58.0,57.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000099,canonical,17.586990356445312,14.699094772338867,2.8878955841064453,True,False,47.0,55.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000099,canonical,12.211685180664062,11.4473876953125,0.7642974853515625,True,False,47.0,55.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000099,canonical,11.99802589416504,11.58062744140625,0.417398452758789,True,False,47.0,55.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000109,canonical,13.71575927734375,13.684771537780762,0.0309877395629882,True,True,72.0,60.0
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,gsm8k_test_000109,canonical,11.207104682922363,10.96419620513916,0.2429084777832031,True,True,72.0,60.0
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,gsm8k_test_000109,canonical,11.089938163757324,11.099838256835938,-0.0099000930786132,True,True,72.0,60.0
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,gsm8k_test_000118,canonical,15.67014980316162,13.128670692443848,2.5414791107177734,True,True,46.0,65.0
