model,model_label,model_sort_key,layer,segment_label,token_category,mean_lid,median_lid,n
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,content_word,17.324446,14.804636,358
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,digits_math_symbols,9.619363,8.058069,593
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,newline_formatting,7.2643237,6.8336945,244
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,punctuation,9.034918,7.4593945,222
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,reasoning_discourse_marker,23.294712,21.87881,95
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,short_function_word,15.506106,13.61767,246
Qwen_Qwen3-1.7B,1.7B,1.7,6,no_think_answer,special_delimiter,68.76542,66.619385,30
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,content_word,20.777695,17.847189,322
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,digits_math_symbols,8.689434,7.104138,651
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,newline_formatting,7.504494,5.71253,277
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,punctuation,8.545021,7.0553775,146
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,reasoning_discourse_marker,20.935822,22.180794,112
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,short_function_word,17.051104,14.427329,245
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer,special_delimiter,68.90904,66.51399,30
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,content_word,17.96895,6.7641954,1898
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,digits_math_symbols,7.022567,5.063922,2436
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,newline_formatting,7.292057,5.345476,723
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,punctuation,14.277099,10.423096,110
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,reasoning_discourse_marker,22.489902,11.348619,180
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,short_function_word,14.419133,6.9120145,1979
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,special_delimiter,23.472971,23.611027,60
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,content_word,12.259132,11.140923,358
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,digits_math_symbols,10.385248,9.6192,593
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,newline_formatting,8.538872,8.017749,244
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,punctuation,9.670973,8.183208,222
