example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000003,3,0,3,3,too_short,False
gsm8k_test_000007,514,3,3,3,,True
gsm8k_test_000009,3,0,3,3,too_short,False
gsm8k_test_000028,334,3,3,3,,True
gsm8k_test_000031,514,3,3,3,,True
gsm8k_test_000035,3,0,3,3,too_short,False
gsm8k_test_000042,240,3,3,3,,True
gsm8k_test_000044,514,3,3,3,,True
gsm8k_test_000048,3,0,3,3,too_short,False
gsm8k_test_000054,514,3,3,3,,True
gsm8k_test_000067,3,0,3,3,too_short,False
gsm8k_test_000069,3,0,3,3,too_short,False
gsm8k_test_000070,3,0,3,3,too_short,False
gsm8k_test_000088,217,3,3,3,,True
gsm8k_test_000091,3,0,3,3,too_short,False
gsm8k_test_000096,3,0,3,3,too_short,False
gsm8k_test_000099,192,3,3,3,,True
gsm8k_test_000103,3,0,3,3,too_short,False
gsm8k_test_000109,331,3,3,3,,True
gsm8k_test_000112,3,0,3,3,too_short,False
gsm8k_test_000118,183,3,3,3,,True
gsm8k_test_000133,267,3,3,3,,True
gsm8k_test_000135,3,0,3,3,too_short,False
gsm8k_test_000150,514,3,3,3,,True
gsm8k_test_000156,3,0,3,3,too_short,False
gsm8k_test_000162,3,0,3,3,too_short,False
gsm8k_test_000172,3,0,3,3,too_short,False
gsm8k_test_000176,3,0,3,3,too_short,False
gsm8k_test_000182,514,3,3,3,,True
gsm8k_test_000188,3,0,3,3,too_short,False
gsm8k_test_000192,3,0,3,3,too_short,False
gsm8k_test_000199,514,3,3,3,,True
gsm8k_test_000208,3,0,3,3,too_short,False
gsm8k_test_000217,3,0,3,3,too_short,False
gsm8k_test_000227,3,0,3,3,too_short,False
gsm8k_test_000243,3,0,3,3,too_short,False
gsm8k_test_000247,390,3,3,3,,True
gsm8k_test_000252,3,0,3,3,too_short,False
gsm8k_test_000254,396,3,3,3,,True
gsm8k_test_000257,440,3,3,3,,True
gsm8k_test_000273,475,3,3,3,,True
gsm8k_test_000274,3,0,3,3,too_short,False
gsm8k_test_000276,3,0,3,3,too_short,False
gsm8k_test_000282,3,0,3,3,too_short,False
gsm8k_test_000290,3,0,3,3,too_short,False
gsm8k_test_000294,3,0,3,3,too_short,False
gsm8k_test_000296,3,0,3,3,too_short,False
gsm8k_test_000300,184,3,3,3,,True
gsm8k_test_000304,514,3,3,3,,True
gsm8k_test_000307,514,3,3,3,,True
gsm8k_test_000310,3,0,3,3,too_short,False
gsm8k_test_000315,3,0,3,3,too_short,False
gsm8k_test_000325,514,3,3,3,,True
gsm8k_test_000338,3,0,3,3,too_short,False
gsm8k_test_000343,3,0,3,3,too_short,False
gsm8k_test_000351,236,3,3,3,,True
gsm8k_test_000360,3,0,3,3,too_short,False
gsm8k_test_000361,514,3,3,3,,True
gsm8k_test_000364,3,0,3,3,too_short,False
gsm8k_test_000374,3,0,3,3,too_short,False
gsm8k_test_000389,419,3,3,3,,True
gsm8k_test_000395,3,0,3,3,too_short,False
gsm8k_test_000398,3,0,3,3,too_short,False
gsm8k_test_000415,514,3,3,3,,True
gsm8k_test_000426,223,3,3,3,,True
gsm8k_test_000432,430,3,3,3,,True
gsm8k_test_000433,274,3,3,3,,True
gsm8k_test_000448,514,3,3,3,,True
gsm8k_test_000449,256,3,3,3,,True
gsm8k_test_000460,149,3,3,3,,True
gsm8k_test_000472,3,0,3,3,too_short,False
gsm8k_test_000491,3,0,3,3,too_short,False
gsm8k_test_000503,315,3,3,3,,True
gsm8k_test_000509,514,3,3,3,,True
gsm8k_test_000514,3,0,3,3,too_short,False
gsm8k_test_000518,3,0,3,3,too_short,False
gsm8k_test_000523,3,0,3,3,too_short,False
gsm8k_test_000531,3,0,3,3,too_short,False
gsm8k_test_000532,3,0,3,3,too_short,False
gsm8k_test_000534,514,3,3,3,,True
gsm8k_test_000543,379,3,3,3,,True
gsm8k_test_000549,3,0,3,3,too_short,False
gsm8k_test_000560,3,0,3,3,too_short,False
gsm8k_test_000561,371,3,3,3,,True
gsm8k_test_000564,3,0,3,3,too_short,False
gsm8k_test_000568,327,3,3,3,,True
gsm8k_test_000582,465,3,3,3,,True
gsm8k_test_000585,227,3,3,3,,True
gsm8k_test_000586,444,3,3,3,,True
gsm8k_test_000595,3,0,3,3,too_short,False
gsm8k_test_000604,3,0,3,3,too_short,False
gsm8k_test_000605,354,3,3,3,,True
gsm8k_test_000625,3,0,3,3,too_short,False
gsm8k_test_000629,3,0,3,3,too_short,False
gsm8k_test_000633,3,0,3,3,too_short,False
gsm8k_test_000640,514,3,3,3,,True
gsm8k_test_000641,3,0,3,3,too_short,False
gsm8k_test_000644,3,0,3,3,too_short,False
gsm8k_test_000645,3,0,3,3,too_short,False
gsm8k_test_000655,3,0,3,3,too_short,False
gsm8k_test_000668,242,3,3,3,,True
gsm8k_test_000684,457,3,3,3,,True
gsm8k_test_000695,3,0,3,3,too_short,False
gsm8k_test_000697,503,3,3,3,,True
gsm8k_test_000713,301,3,3,3,,True
gsm8k_test_000740,3,0,3,3,too_short,False
gsm8k_test_000759,3,0,3,3,too_short,False
gsm8k_test_000760,3,0,3,3,too_short,False
gsm8k_test_000767,3,0,3,3,too_short,False
gsm8k_test_000775,3,0,3,3,too_short,False
gsm8k_test_000776,3,0,3,3,too_short,False
gsm8k_test_000781,514,3,3,3,,True
gsm8k_test_000782,3,0,3,3,too_short,False
gsm8k_test_000795,3,0,3,3,too_short,False
gsm8k_test_000814,514,3,3,3,,True
gsm8k_test_000828,298,3,3,3,,True
gsm8k_test_000829,3,0,3,3,too_short,False
gsm8k_test_000830,514,3,3,3,,True
gsm8k_test_000848,3,0,3,3,too_short,False
gsm8k_test_000852,418,3,3,3,,True
gsm8k_test_000871,3,0,3,3,too_short,False
gsm8k_test_000875,3,0,3,3,too_short,False
gsm8k_test_000891,3,0,3,3,too_short,False
gsm8k_test_000896,232,3,3,3,,True
gsm8k_test_000900,3,0,3,3,too_short,False
gsm8k_test_000901,514,3,3,3,,True
gsm8k_test_000911,211,3,3,3,,True
gsm8k_test_000913,3,0,3,3,too_short,False
gsm8k_test_000914,3,0,3,3,too_short,False
gsm8k_test_000915,3,0,3,3,too_short,False
gsm8k_test_000917,3,0,3,3,too_short,False
gsm8k_test_000921,3,0,3,3,too_short,False
gsm8k_test_000923,514,3,3,3,,True
gsm8k_test_000924,446,3,3,3,,True
gsm8k_test_000930,3,0,3,3,too_short,False
gsm8k_test_000948,398,3,3,3,,True
gsm8k_test_000956,3,0,3,3,too_short,False
gsm8k_test_000960,3,0,3,3,too_short,False
gsm8k_test_000965,467,3,3,3,,True
gsm8k_test_000977,215,3,3,3,,True
gsm8k_test_000988,514,3,3,3,,True
gsm8k_test_000990,3,0,3,3,too_short,False
gsm8k_test_000995,3,0,3,3,too_short,False
gsm8k_test_001002,249,3,3,3,,True
gsm8k_test_001006,514,3,3,3,,True
gsm8k_test_001008,3,0,3,3,too_short,False
gsm8k_test_001009,514,3,3,3,,True
gsm8k_test_001013,336,3,3,3,,True
gsm8k_test_001017,3,0,3,3,too_short,False
gsm8k_test_001026,514,3,3,3,,True
gsm8k_test_001031,514,3,3,3,,True
gsm8k_test_001038,514,3,3,3,,True
gsm8k_test_001043,458,3,3,3,,True
gsm8k_test_001047,409,3,3,3,,True
gsm8k_test_001052,352,3,3,3,,True
gsm8k_test_001058,3,0,3,3,too_short,False
gsm8k_test_001059,262,3,3,3,,True
gsm8k_test_001079,514,3,3,3,,True
gsm8k_test_001082,3,0,3,3,too_short,False
gsm8k_test_001088,514,3,3,3,,True
gsm8k_test_001090,3,0,3,3,too_short,False
gsm8k_test_001094,3,0,3,3,too_short,False
gsm8k_test_001096,514,3,3,3,,True
gsm8k_test_001098,3,0,3,3,too_short,False
gsm8k_test_001106,211,3,3,3,,True
gsm8k_test_001108,3,0,3,3,too_short,False
gsm8k_test_001123,3,0,3,3,too_short,False
gsm8k_test_001136,212,3,3,3,,True
gsm8k_test_001144,3,0,3,3,too_short,False
gsm8k_test_001145,3,0,3,3,too_short,False
gsm8k_test_001161,3,0,3,3,too_short,False
gsm8k_test_001164,421,3,3,3,,True
gsm8k_test_001165,514,3,3,3,,True
gsm8k_test_001178,3,0,3,3,too_short,False
gsm8k_test_001181,514,3,3,3,,True
gsm8k_test_001182,397,3,3,3,,True
gsm8k_test_001183,514,3,3,3,,True
gsm8k_test_001186,3,0,3,3,too_short,False
gsm8k_test_001188,514,3,3,3,,True
gsm8k_test_001191,3,0,3,3,too_short,False
gsm8k_test_001201,3,0,3,3,too_short,False
gsm8k_test_001208,3,0,3,3,too_short,False
gsm8k_test_001209,330,3,3,3,,True
gsm8k_test_001221,3,0,3,3,too_short,False
gsm8k_test_001225,514,3,3,3,,True
gsm8k_test_001232,3,0,3,3,too_short,False
gsm8k_test_001246,3,0,3,3,too_short,False
gsm8k_test_001247,3,0,3,3,too_short,False
gsm8k_test_001251,514,3,3,3,,True
gsm8k_test_001253,3,0,3,3,too_short,False
